date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2023-12-03,0.012713333333333333,0.0,0.0,19360102860.0,0.663,
2023-12-04,0.01861233333333333,0.0,0.0,19434610796.0,0.7,
2023-12-05,0.012549333333333334,0.0,0.0,20818299991.0,0.713,
2023-12-06,0.011161333333333334,0.0,0.0,21431595657.0,0.785,
2023-12-07,0.014747333333333333,0.0,0.0,20975083222.0,0.902,
2023-12-08,0.024037000000000003,0.0,0.0,20838694371.0,1.023,
2023-12-09,0.02874233333333333,0.0,0.0,20884444363.0,0.906,
2023-12-10,0.025982333333333333,0.0,0.0,20719548738.0,0.969,
2023-12-11,0.013833,0.0,0.0,20715286118.0,1.065,
2023-12-12,0.015025000000000002,0.0,0.0,19620221947.0,1.347,
2023-12-13,0.014041,0.0,0.0,19681345479.0,1.433,
2023-12-14,0.011223333333333333,0.0,0.0,19503658532.0,1.115,
2023-12-15,0.013568000000000002,0.0,0.0,19581934136.0,1.082,
2023-12-16,0.017303333333333334,0.0,0.0,18902123556.0,1.285,
2023-12-17,0.015193333333333335,0.0,0.0,18942151386.0,1.224,
2023-12-18,0.012483666666666665,0.0,0.0,18651234509.0,1.37,
2023-12-19,0.014858000000000001,0.0,0.0,19047033848.0,1.182,
2023-12-20,0.018001,0.0,0.0,19282499178.0,1.24,
2023-12-21,0.028235333333333335,0.0,0.0,20300430574.0,0.877,
2023-12-22,0.022907333333333335,0.0,0.0,20722220048.0,0.931,
2023-12-23,0.011392333333333332,0.0,0.0,20465697364.0,1.026,
2023-12-24,0.017805333333333336,0.0,0.0,20324747984.0,1.034,
2023-12-25,0.028952333333333333,0.0,0.0,20002798502.0,1.135,
2023-12-26,0.03314366666666666,0.0,0.0,20282774999.0,1.142,
2023-12-27,0.03449633333333333,0.0,0.0,20247637069.0,1.653,
2023-12-28,0.04810766666666667,0.0,0.0,20315339248.0,1.257,
2023-12-29,0.03790833333333333,0.0,0.0,20051125151.0,1.552,
2023-12-30,0.034035666666666665,0.0,0.0,19177401763.0,1.885,
2023-12-31,0.03796066666666666,0.0,0.0,19253248935.0,1.444,
2024-01-01,0.044338666666666665,0.0,0.0,19122087819.0,1.507,
2024-01-02,0.04233866666666666,0.0,0.0,20136269862.0,1.083,
2024-01-03,0.014701666666666668,0.0,0.0,20789028091.0,1.028,
2024-01-04,0.009323666666666666,0.0,0.0,19484584230.0,1.645,
